"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Aug 31 11:57:13 GMT 2024","Sat Aug 31 11:57:14 GMT 2024","614","","TestScenario","","","","test_geolocation_wrong",""
"passed","Sat Aug 31 11:57:16 GMT 2024","Sat Aug 31 11:57:17 GMT 2024","701","","TestScenario","","","","test_gym_names",""
"passed","Sat Aug 31 11:57:11 GMT 2024","Sat Aug 31 11:57:12 GMT 2024","668","","TestScenario","","","","test_specific_bar_by_uri[ymapsbm1://org?oid=225375811717-\u0413\u0430\u043c\u0431\u0440\u0438\u043d\u0443\u0441]",""
"failed","Sat Aug 31 11:57:12 GMT 2024","Sat Aug 31 11:57:13 GMT 2024","658","","TestScenario","","","","test_specific_bar_by_uri[ymapsbm1://org?oid=1234567890-\u0428\u0432\u0430\u0440\u0446\u043a\u0430\u0439\u0437\u0435\u0440]",""
"passed","Sat Aug 31 11:57:10 GMT 2024","Sat Aug 31 11:57:11 GMT 2024","1164","","TestScenario","","","","test_top_3_bars",""
"failed","Sat Aug 31 11:57:15 GMT 2024","Sat Aug 31 11:57:16 GMT 2024","705","","TestScenario","","","","test_geolocation_by_object[\u041b\u0435\u043d\u0438\u043d\u0433\u0440\u0430\u0434\u0441\u043a\u0438\u0439 \u0432\u043e\u043a\u0437\u0430\u043b, \u041c\u043e\u0441\u043a\u0432\u0430-400]",""
"passed","Sat Aug 31 11:57:09 GMT 2024","Sat Aug 31 11:57:10 GMT 2024","1171","","TestScenario","","","","test_geolocation_by_address",""
"failed","Sat Aug 31 11:57:13 GMT 2024","Sat Aug 31 11:57:13 GMT 2024","655","","TestScenario","","","","test_specific_bar_by_uri[ymapsbm1://org?oid=9876543210-\u0417\u043e\u043b\u043e\u0442\u0430\u044f \u0432\u043e\u0431\u043b\u0430]",""
"failed","Sat Aug 31 11:57:15 GMT 2024","Sat Aug 31 11:57:15 GMT 2024","653","","TestScenario","","","","test_geolocation_by_object[\u041a\u0430\u0437\u0430\u043d\u0441\u043a\u0438\u0439 \u0432\u043e\u043a\u0437\u0430\u043b, \u041c\u043e\u0441\u043a\u0432\u0430-400]",""
"passed","Sat Aug 31 11:57:14 GMT 2024","Sat Aug 31 11:57:15 GMT 2024","667","","TestScenario","","","","test_geolocation_by_object[\u042f\u0440\u043e\u0441\u043b\u0430\u0432\u0441\u043a\u0438\u0439 \u0432\u043e\u043a\u0437\u0430\u043b, \u041c\u043e\u0441\u043a\u0432\u0430-200]",""
